Time,DisTankPress,HeadCylPress,CrankCylPress
0.16945,38.11854997,12.82217136,53.98303956
0.1695,38.05319788,12.869309,54.01172889
0.16955,38.05973309,12.78528104,53.98099033
0.1696,38.04012746,12.74839071,54.07115678
0.16965,38.11201476,12.82627029,54.1326339
0.1697,38.0662683,12.84266599,54.18591408
0.16975,38.09240913,12.89390255,54.00558118
0.1698,38.11201476,12.869309,53.9686949
0.16985,38.11201476,12.74839071,54.0342705
0.1699,38.10547955,12.80577566,54.18591408
0.16995,38.12508518,12.83241868,54.26993281
0.17,38.17083164,12.6725606,54.22689883
0.17005,38.12508518,12.89185309,54.10394458
0.1701,38.17736685,12.86111115,54.01377813
0.17015,38.17736685,12.79962728,54.04861516
0.1702,38.15122602,12.80987459,54.01377813
0.17025,38.15776122,12.88980363,54.05271364
0.1703,38.16429643,12.86111115,54.06500906
0.17035,38.13162039,12.82627029,54.04041821
0.1704,38.22311332,12.92669395,54.00763041
0.17045,38.17083164,12.80167674,54.06295983
0.1705,38.22964853,12.83036921,54.16132323
0.17055,38.22964853,12.90619933,54.16747094
0.1706,38.26232457,13.01277138,54.11009229
0.17065,38.21657811,13.12754128,54.04041821
0.1707,38.11201476,13.08450256,54.02197508
0.17075,38.17736685,13.06810686,53.98713804
0.1708,38.17736685,13.11319504,54.06295983
0.17085,38.1381556,13.04761224,54.11419076
0.1709,38.26232457,12.96973266,54.28222824
0.17095,38.18390206,12.97588105,54.16952018
0.171,38.24271894,12.85496276,54.14697856
0.17105,38.22964853,12.83241868,54.08959991
0.1711,38.30807103,12.90619933,54.10804305
0.17115,38.27539499,12.94104019,54.16337246
0.1712,38.32114145,13.08655203,54.22689883
0.17125,38.28846541,12.65821436,54.20435721
0.1713,38.30153583,13.033266,54.19616026
0.17135,38.32114145,13.02096923,54.20435721
0.1714,38.34728229,12.99842514,54.14083085
0.17145,38.33421187,13.04556278,54.24329273
0.1715,38.46491605,12.9676832,54.25353891
0.17155,38.45184564,12.91029825,54.27812976
0.1716,38.4257048,12.94308965,54.16952018
0.17165,38.36035271,12.94104019,54.0014827
0.1717,38.39302875,12.97383159,53.86828226
0.17175,38.37342313,12.9676832,53.87852845
0.1718,38.46491605,12.97997998,53.94410405
0.17185,38.39302875,13.09065095,54.02812279
0.1719,38.47145126,12.9512875,54.15312628
0.17195,38.47798647,12.92259503,54.16132323
0.172,38.47798647,12.88980363,54.23509578
0.17205,38.46491605,12.88980363,54.17156941
0.1721,38.54987377,12.94308965,54.1818156
0.17215,38.55640898,12.93694126,53.94410405
0.1722,38.53026814,12.9021004,53.82934675
0.17225,38.5694794,12.9348918,53.79655895
0.1723,38.46491605,12.93899073,53.7227864
0.17235,38.51066252,12.99227675,53.66130928
0.1724,38.58908503,12.99842514,53.77811581
0.17245,38.58254982,13.34273484,53.70844174
0.1725,38.68057795,13.03531546,53.68385089
0.17255,38.61522586,12.99842514,53.72483564
0.1726,38.64790191,12.94923804,53.78016505
0.17265,38.60869065,12.96563374,53.76377115
0.1727,38.64790191,12.98612836,53.76786963
0.17275,38.68711316,13.09270041,53.70434326
0.1728,38.64790191,13.1316402,53.75147573
0.17285,38.6413667,13.09679934,53.80065743
0.1729,38.64790191,13.16033268,53.82524828
0.17295,38.713254,13.13778859,53.71254021
0.173,38.73285963,13.06400794,53.64901385
0.17305,38.6413667,12.99637568,53.65106309
0.1731,38.67404275,12.9676832,53.55269969
0.17315,38.713254,12.98817783,53.57114283
0.1732,38.71978921,13.02711761,53.53425655
0.17325,38.74593005,13.02096923,53.53015808
0.1733,38.7851413,13.14188751,53.72073716
0.17335,38.68057795,13.04146385,53.56294588
0.1734,38.67404275,13.01072191,53.58958596
0.17345,38.69364837,13.02096923,53.64286614
0.1735,38.73285963,13.05990901,53.62032453
0.17355,38.72632442,13.05581009,53.50556723
0.1736,38.74593005,13.02711761,53.53425655
0.17365,38.73939484,13.05171116,53.44204086
0.1737,38.79167651,13.15213483,53.41949925
0.17375,38.75246525,13.15213483,53.37646526
0.1738,38.79167651,13.17057999,53.25965873
0.17385,38.76553567,13.25665741,53.26990491
0.1739,38.81128214,13.16648106,53.26170796
0.17395,38.76553567,13.13778859,53.26170796
0.174,38.79821172,13.05990901,53.3457267
0.17405,38.87663423,13.02711761,53.32113585
0.1741,38.90931027,13.00662299,53.31498814
0.17415,38.90277506,13.03736493,53.31703738
0.1742,38.83742297,12.98612836,53.27605263
0.17425,38.88970464,13.07220579,53.27810186
0.1743,38.88316944,13.04146385,53.2473633
0.17435,38.83742297,13.11934343,53.34777594
0.1744,38.8570286,13.05785955,53.22072321
0.17445,38.85049339,13.14598644,53.18588618
0.1745,38.96812715,13.15213483,53.36416984
0.17455,38.90931027,13.08860149,53.3293328
0.1746,38.94852153,13.15623375,53.34162823
0.17465,38.87009902,13.13983805,53.24531406
0.1747,38.94852153,13.1152445,53.14490143
0.17475,38.95505674,13.1480359,53.09571973
0.1748,38.93545111,13.05990901,53.07522735
0.17485,38.93545111,13.12344235,53.18793541
0.1749,38.93545111,13.21771763,53.27195415
0.17495,38.90277506,12.9840789,53.13465524
0.175,38.93545111,13.28944881,53.1162121
0.17505,38.91584548,13.26075634,53.1817877
0.1751,38.90277506,13.1644316,53.30064348
0.17515,38.93545111,13.20747031,53.36007136
0.1752,38.96812715,13.19927246,53.3621206
0.17525,39.02040883,13.27100365,53.28629881
0.1753,38.96812715,13.3775757,53.28220034
0.17535,38.93545111,13.26485526,53.28424958
0.1754,38.83742297,13.23821225,53.27810186
0.17545,38.88970464,13.16648106,53.26990491
0.1755,38.94852153,13.08450256,53.30474195
0.17555,38.90277506,13.12959074,53.30679119
0.1756,38.96159194,13.2300144,53.26580644
0.17565,38.90277506,13.16648106,53.22277245
0.1757,38.88970464,13.14598644,53.39695764
0.17575,38.97466236,13.15418429,53.23711711
0.1758,38.96812715,13.17467891,53.14695066
0.17585,38.87663423,13.24436064,53.13875371
0.1759,38.90277506,13.15418429,53.11211363
0.17595,38.93545111,13.16648106,53.14285219
0.176,38.89623985,13.17057999,53.16744304
0.17605,38.90277506,13.17877784,53.17973846
0.1761,38.92238069,13.19312408,53.16334456
0.17615,38.87009902,13.43701011,53.19203389
0.1762,38.86356381,12.99022729,53.26170796
0.17625,38.89623985,13.25050903,53.3293328
0.1763,38.90277506,13.23821225,53.29859424
0.17635,38.84395818,13.29969613,53.19613236
0.1764,38.91584548,13.33248753,53.29449576
0.17645,38.83088776,13.28944881,53.30884043
0.1765,38.90931027,13.30584451,53.30269271
0.17655,38.85049339,13.24845956,53.17768923
0.1766,38.90277506,13.26075634,53.25146178
0.17665,38.83742297,13.19927246,53.23916635
0.1767,38.82435255,13.21771763,53.23711711
0.17675,38.81781735,13.26690473,53.30679119
0.1768,38.82435255,13.29764666,53.33548051
0.17685,38.76553567,13.27305311,53.38466221
0.1769,38.81781735,13.21976709,53.62032453
0.17695,38.86356381,13.197223,53.53630579
0.177,38.81128214,13.1808273,53.57319206
0.17705,38.73285963,13.1808273,53.48712409
0.1771,38.7851413,13.13573913,53.40310535
0.17715,38.81128214,13.15008536,53.37646526
0.1772,38.77860609,13.09679934,53.45433629
0.17725,38.76553567,13.11319504,53.53220731
0.1773,38.70018358,13.12959074,53.52401036
0.17735,38.77860609,13.11114558,53.52196113
0.1774,38.70018358,13.41856495,53.51786265
0.17745,38.72632442,13.02711761,53.53015808
0.1775,38.68711316,13.0660574,53.35802213
0.17755,38.66097233,13.03736493,53.40925306
0.1776,38.72632442,13.0988488,53.3949084
0.17765,38.713254,13.15418429,53.3457267
0.1777,38.60215544,13.26485526,53.30064348
0.17775,38.65443712,13.25050903,53.35597289
0.1778,38.62829628,13.3119929,53.29244653
0.17785,38.64790191,13.30994344,53.27605263
0.1779,38.64790191,13.21566816,53.24326483
0.17795,38.70018358,13.16238214,53.296545
0.178,38.62829628,13.197223,53.28834805
0.17805,38.57601461,13.30789398,53.32318509
0.1781,38.59562024,13.22591548,53.35187441
0.17815,38.50412731,13.18287676,53.09162125
0.1782,38.51066252,13.11934343,53.25965873
0.17825,38.5694794,13.04556278,53.25351101
0.1783,38.5694794,13.09679934,53.31088966
0.17835,38.51719773,13.16238214,53.23916635
0.1784,38.4975921,13.27510258,53.15514761
0.17845,38.56294419,13.2136187,53.16744304
0.1785,38.53026814,13.14393698,53.24326483
0.17855,38.47145126,13.07015633,53.22072321
0.1786,38.48452168,13.15008536,53.07727659
0.17865,38.47145126,13.23206386,53.06293193
0.1787,38.4975921,13.26895419,53.08957201
0.17875,38.43877522,13.20747031,53.12440905
0.1788,38.36688792,13.06400794,53.21867398
0.17885,38.36035271,13.0168703,53.33548051
0.1789,38.29500062,13.1480359,53.23916635
0.17895,38.36688792,13.07425525,53.20842779
0.179,38.34074708,13.09474988,53.22482169
0.17905,38.38649354,13.17877784,53.17768923
0.1791,38.33421187,13.1480359,53.09571973
0.17915,38.31460624,13.23411333,53.12850753
0.1792,38.27539499,13.12959074,53.16334456
0.17925,38.30807103,13.11934343,53.09162125
0.1793,38.2819302,13.15623375,53.20637855
0.17935,38.32767666,13.18492623,53.05473498
0.1794,38.22964853,13.21771763,53.18793541
0.17945,38.28846541,13.2955972,53.20023084
0.1795,38.25578936,13.33043806,53.29859424
0.17955,38.21657811,13.32019075,53.296545
0.1796,38.27539499,13.36937785,53.22277245
0.17965,38.17083164,13.43086173,53.1162121
0.1797,38.16429643,13.32224021,53.08137506
0.17975,38.20350769,13.24026171,53.09367049
0.1798,38.19043727,13.35093269,53.0670304
0.17985,38.19697248,13.37347678,53.01170099
0.1799,38.15122602,13.0824531,52.99940556
0.17995,38.1381556,13.34888323,53.02809489
0.18,38.15776122,13.35093269,52.93382996
0.18005,38.09894434,13.28739935,52.97071624
0.1801,38.19043727,13.28739935,53.02809489
0.18015,38.15776122,13.31404236,52.94612539
0.1802,38.10547955,13.37552624,52.88874674
